Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,50,sudden,0.2000,1.0000,0.3333,95.00,25652.00,0.003521,348.1538,152.0000,0.7692
newsgroups,mmd,sliding,50,gradual,0.2000,1.0000,0.3333,137.00,16109.00,0.003521,348.1538,152.0000,0.7692
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.003521,348.1538,152.0000,0.7692
newsgroups,padd,sliding,50,sudden,1.0000,1.0000,1.0000,19.00,34965.00,0.000000,333.2222,246.3333,0.6667
newsgroups,padd,sliding,50,gradual,1.0000,1.0000,1.0000,107.00,46117.00,0.000000,333.2222,246.3333,0.6667
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,333.2222,246.3333,0.6667
newsgroups,mmd,sliding,50,sudden,0.2000,1.0000,0.3333,221.00,26505.00,0.003518,396.4286,186.3333,0.7857
newsgroups,mmd,sliding,50,gradual,0.2000,1.0000,0.3333,114.00,15285.00,0.003518,396.4286,186.3333,0.7857
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.003518,396.4286,186.3333,0.7857
newsgroups,padd,sliding,50,sudden,0.5000,1.0000,0.6667,65.00,42157.00,0.000880,331.4444,186.3333,0.6667
newsgroups,padd,sliding,50,gradual,0.5000,1.0000,0.6667,114.00,13595.00,0.000880,331.4444,186.3333,0.6667
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,331.4444,186.3333,0.6667
newsgroups,mmd,sliding,50,sudden,1.0000,1.0000,1.0000,155.00,27520.00,0.000000,334.1000,142.6667,0.7000
newsgroups,mmd,sliding,50,gradual,1.0000,1.0000,1.0000,149.00,17434.00,0.000000,334.1000,142.6667,0.7000
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,334.1000,142.6667,0.7000
newsgroups,padd,sliding,50,sudden,1.0000,1.0000,1.0000,155.00,27542.00,0.000000,240.7143,142.6667,0.5714
newsgroups,padd,sliding,50,gradual,1.0000,1.0000,1.0000,23.00,3064.00,0.000000,240.7143,142.6667,0.5714
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,240.7143,142.6667,0.5714
newsgroups,mmd,sliding,50,sudden,0.3333,1.0000,0.5000,146.00,24661.00,0.001764,351.7692,174.0000,0.7692
newsgroups,mmd,sliding,50,gradual,0.3333,1.0000,0.5000,175.00,20780.00,0.001764,351.7692,174.0000,0.7692
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.001764,351.7692,174.0000,0.7692
newsgroups,padd,sliding,50,sudden,0.5000,1.0000,0.6667,146.00,24682.00,0.000882,292.5455,107.6667,0.7273
newsgroups,padd,sliding,50,gradual,0.5000,1.0000,0.6667,29.00,10021.00,0.000882,292.5455,107.6667,0.7273
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000882,292.5455,107.6667,0.7273
newsgroups,mmd,sliding,50,sudden,0.2000,1.0000,0.3333,99.00,13401.00,0.003518,377.6154,125.0000,0.7692
newsgroups,mmd,sliding,50,gradual,0.2000,1.0000,0.3333,132.00,15815.00,0.003518,377.6154,125.0000,0.7692
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.003518,377.6154,125.0000,0.7692
newsgroups,padd,sliding,50,sudden,0.2000,1.0000,0.3333,99.00,13422.00,0.003518,330.8462,125.0000,0.7692
newsgroups,padd,sliding,50,gradual,0.2000,1.0000,0.3333,29.00,13023.00,0.003518,330.8462,125.0000,0.7692
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.003518,330.8462,125.0000,0.7692
newsgroups,mmd,sliding,50,sudden,1.0000,1.0000,1.0000,278.00,36907.00,0.000000,306.7000,93.0000,0.7000
newsgroups,mmd,sliding,50,gradual,1.0000,1.0000,1.0000,120.00,15357.00,0.000000,306.7000,93.0000,0.7000
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,306.7000,93.0000,0.7000
newsgroups,padd,sliding,50,sudden,0.5000,1.0000,0.6667,111.00,48410.00,0.000880,234.5556,93.0000,0.6667
newsgroups,padd,sliding,50,gradual,0.5000,1.0000,0.6667,120.00,14579.00,0.000880,234.5556,93.0000,0.6667
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,234.5556,93.0000,0.6667
newsgroups,mmd,sliding,50,sudden,0.2000,1.0000,0.3333,190.00,26784.00,0.003521,393.0714,152.0000,0.7857
newsgroups,mmd,sliding,50,gradual,0.2000,1.0000,0.3333,42.00,6522.00,0.003521,393.0714,152.0000,0.7857
newsgroups,mmd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.003521,393.0714,152.0000,0.7857
newsgroups,padd,sliding,50,sudden,0.3333,1.0000,0.5000,8.00,2767.00,0.001761,404.2500,844.0000,0.2500
newsgroups,padd,sliding,50,gradual,0.0000,0.0000,0.0000,nan,nan,0.001761,404.2500,844.0000,0.2500
newsgroups,padd,sliding,50,recurring,0.0000,0.0000,0.0000,nan,nan,0.001761,404.2500,844.0000,0.2500
