Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,340.4286,228.6667,0.5714
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,203.00,41038.00,0.000000,439.0000,502.3333,0.5000
newsgroups,padd,sliding,200,gradual,0.0000,0.0000,0.0000,nan,nan,0.000000,439.0000,502.3333,0.5000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,439.0000,502.3333,0.5000
newsgroups,mmd,sliding,200,sudden,0.5000,1.0000,0.6667,125.00,26233.00,0.000880,426.5000,291.0000,0.6250
newsgroups,mmd,sliding,200,gradual,0.5000,1.0000,0.6667,316.00,38818.00,0.000880,426.5000,291.0000,0.6250
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,426.5000,291.0000,0.6250
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,58.00,54515.00,0.000000,345.0000,348.3333,0.0000
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,118.00,38136.00,0.000000,345.0000,348.3333,0.0000
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,345.0000,348.3333,0.0000
newsgroups,mmd,sliding,200,sudden,1.0000,1.0000,1.0000,156.00,29004.00,0.000000,350.7143,233.0000,0.5714
newsgroups,mmd,sliding,200,gradual,1.0000,1.0000,1.0000,198.00,47538.00,0.000000,350.7143,233.0000,0.5714
newsgroups,mmd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,350.7143,233.0000,0.5714
newsgroups,padd,sliding,200,sudden,1.0000,1.0000,1.0000,156.00,29027.00,0.000000,350.7143,233.0000,0.5714
newsgroups,padd,sliding,200,gradual,1.0000,1.0000,1.0000,14.00,45950.00,0.000000,350.7143,233.0000,0.5714
newsgroups,padd,sliding,200,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,350.7143,233.0000,0.5714
