Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,100,sudden,1.0000,1.0000,1.0000,148.00,28035.00,0.000000,243.5000,449.3333,0.5000
newsgroups,mmd,sliding,100,gradual,1.0000,1.0000,1.0000,339.00,45928.00,0.000000,243.5000,449.3333,0.5000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,243.5000,449.3333,0.5000
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,190.00,29888.00,0.000000,137.0000,463.3333,0.5000
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,84.00,10524.00,0.000000,137.0000,463.3333,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,137.0000,463.3333,0.5000
newsgroups,mmd,sliding,100,sudden,0.2500,1.0000,0.4000,185.00,29491.00,0.002641,129.5000,461.6667,0.5000
newsgroups,mmd,sliding,100,gradual,0.2500,1.0000,0.4000,74.00,10197.00,0.002641,129.5000,461.6667,0.5000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.002641,129.5000,461.6667,0.5000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,30.00,29519.00,0.000880,129.5000,461.6667,0.5000
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,74.00,7804.00,0.000880,129.5000,461.6667,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,129.5000,461.6667,0.5000
newsgroups,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,93.00,26736.00,0.001761,296.5000,532.3333,0.5000
newsgroups,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,196.00,23231.00,0.001761,296.5000,532.3333,0.5000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001761,296.5000,532.3333,0.5000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,21.00,55268.00,0.000880,296.0000,570.6667,0.5000
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,104.00,12297.00,0.000880,296.0000,570.6667,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,296.0000,570.6667,0.5000
newsgroups,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,151.00,28404.00,0.001761,95.0000,450.3333,0.5000
newsgroups,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,25.00,4153.00,0.001761,95.0000,450.3333,0.5000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001761,95.0000,450.3333,0.5000
newsgroups,padd,sliding,100,sudden,1.0000,1.0000,1.0000,241.00,42313.00,0.000000,156.5000,500.0000,0.5000
newsgroups,padd,sliding,100,gradual,1.0000,1.0000,1.0000,25.00,38020.00,0.000000,156.5000,500.0000,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,156.5000,500.0000,0.5000
newsgroups,mmd,sliding,100,sudden,0.3333,1.0000,0.5000,210.00,30720.00,0.001759,155.5000,470.0000,0.5000
newsgroups,mmd,sliding,100,gradual,0.3333,1.0000,0.5000,101.00,14491.00,0.001759,155.5000,470.0000,0.5000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001759,155.5000,470.0000,0.5000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,20.00,4315.00,0.000880,60.5000,406.6667,0.5000
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,101.00,12202.00,0.000880,60.5000,406.6667,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000880,60.5000,406.6667,0.5000
newsgroups,mmd,sliding,100,sudden,0.5000,1.0000,0.6667,178.00,31656.00,0.000883,102.0000,459.3333,0.5000
newsgroups,mmd,sliding,100,gradual,0.5000,1.0000,0.6667,26.00,5249.00,0.000883,102.0000,459.3333,0.5000
newsgroups,mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000883,102.0000,459.3333,0.5000
newsgroups,padd,sliding,100,sudden,0.5000,1.0000,0.6667,1.00,31683.00,0.000883,102.0000,459.3333,0.5000
newsgroups,padd,sliding,100,gradual,0.5000,1.0000,0.6667,8.00,3963.00,0.000883,102.0000,459.3333,0.5000
newsgroups,padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000883,102.0000,459.3333,0.5000
