Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
yahoo,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,135.5,25305.0,0.000843,0.0,372.6667,0.5,0.6667
yahoo,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,27.0,415.6667,2.0,1.0
yahoo,padd,sliding,100,gradual,1.0,1.0,1.0,206.0,24268.0,0.0,27.0,415.6667,2.0,0.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,27.0,415.6667,2.0,1.0
yahoo,padd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,206.0,24268.0,0.0,27.0,415.6667,2.0,0.6667
yahoo,mmd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,mmd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,mmd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
yahoo,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
yahoo,mmd,sliding,100,sudden,0.3333,1.0,0.5,118.0,34042.0,0.001695,0.0,346.6667,0.5,2.0
yahoo,mmd,sliding,100,gradual,0.3333,1.0,0.5,160.0,24357.0,0.001695,0.0,346.6667,0.5,2.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001695,0.0,346.6667,0.5,3.0
yahoo,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,139.0,29199.5,0.001695,0.0,346.6667,0.5,1.0
yahoo,padd,sliding,100,sudden,1.0,1.0,1.0,118.0,34045.0,0.0,13.0,342.3333,0.5,0.0
yahoo,padd,sliding,100,gradual,1.0,1.0,1.0,199.0,25450.0,0.0,13.0,342.3333,0.5,0.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,13.0,342.3333,0.5,1.0
yahoo,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,158.5,29747.5,0.0,13.0,342.3333,0.5,0.3333
yahoo,mmd,sliding,100,sudden,0.2,1.0,0.3333,181.0,35407.0,0.003454,0.0,376.3333,0.5,4.0
yahoo,mmd,sliding,100,gradual,0.2,1.0,0.3333,71.0,20302.0,0.003454,0.0,376.3333,0.5,4.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.003454,0.0,376.3333,0.5,5.0
yahoo,mmd,sliding,100,__GLOBAL__,0.3333,0.6667,0.4444,126.0,27854.5,0.003454,0.0,376.3333,0.5,1.6667
yahoo,padd,sliding,100,sudden,1.0,1.0,1.0,181.0,35153.0,0.0,11.5,349.6667,0.5,0.0
yahoo,padd,sliding,100,gradual,1.0,1.0,1.0,174.0,23178.0,0.0,11.5,349.6667,0.5,0.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,11.5,349.6667,0.5,1.0
yahoo,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,177.5,29165.5,0.0,11.5,349.6667,0.5,0.3333
agnews,mmd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,mmd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,mmd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
