Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,928.6667,2.0,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,207.0,30336.0,0.0,0.0,928.6667,2.0,0.6667
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,181.0,24446.0,0.000843,0.0,375.6667,0.5,1.0
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,73.0,13962.0,0.000843,0.0,375.6667,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,375.6667,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,127.0,19204.0,0.000843,0.0,375.6667,0.5,0.6667
agnews,padd,sliding,100,sudden,1.0,1.0,1.0,329.0,53985.0,0.0,0.0,847.3333,2.0,0.0
agnews,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,847.3333,2.0,1.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,847.3333,2.0,1.0
agnews,padd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,329.0,53985.0,0.0,0.0,847.3333,2.0,0.6667
agnews,mmd,sliding,100,sudden,0.5,1.0,0.6667,184.0,25280.0,0.000843,0.0,374.3333,0.5,1.0
agnews,mmd,sliding,100,gradual,0.5,1.0,0.6667,77.0,14590.0,0.000843,0.0,374.3333,0.5,1.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,374.3333,0.5,2.0
agnews,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,130.5,19935.0,0.000843,0.0,374.3333,0.5,0.6667
agnews,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
agnews,mmd,sliding,100,sudden,0.1667,1.0,0.2857,39.0,25418.0,0.004216,0.0,373.0,0.5,5.0
agnews,mmd,sliding,100,gradual,0.1667,1.0,0.2857,81.0,15607.0,0.004216,0.0,373.0,0.5,5.0
agnews,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.004216,0.0,373.0,0.5,6.0
agnews,mmd,sliding,100,__GLOBAL__,0.2857,0.6667,0.4,60.0,20512.5,0.004216,0.0,373.0,0.5,2.0
agnews,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
agnews,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
