Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,100,gradual,0.3333,1.0,0.5,72.0,10267.0,0.001688,0.0,376.0,0.5,2.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001688,0.0,376.0,0.5,3.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,57.5,8686.5,0.001688,0.0,376.0,0.5,1.0
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,43.0,7127.0,0.000844,0.0,1038.0,2.0,1.0
newsgroups,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.000844,0.0,1038.0,2.0,2.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000844,0.0,1038.0,2.0,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.5,0.3333,0.4,43.0,7127.0,0.000844,0.0,1038.0,2.0,1.0
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,399.0,47328.0,0.000843,0.0,376.0,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,72.0,10151.0,0.000843,0.0,376.0,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,376.0,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,235.5,28739.5,0.000843,0.0,376.0,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,399.0,47097.0,0.000843,0.0,800.6667,2.0,1.0
newsgroups,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.000843,0.0,800.6667,2.0,2.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,800.6667,2.0,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.5,0.3333,0.4,399.0,47097.0,0.000843,0.0,800.6667,2.0,1.0
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,221.0,27094.0,0.000843,99.0,340.3333,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,377.0,44975.0,0.000843,99.0,340.3333,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,99.0,340.3333,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,299.0,36034.5,0.000843,99.0,340.3333,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,394.0,45689.0,0.000843,0.0,366.3333,0.5,1.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,101.0,13261.0,0.000843,0.0,366.3333,0.5,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,366.3333,0.5,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,247.5,29475.0,0.000843,0.0,366.3333,0.5,0.6667
newsgroups,mmd,sliding,100,sudden,0.3333,1.0,0.5,115.0,27338.0,0.001686,0.0,365.6667,0.5,2.0
newsgroups,mmd,sliding,100,gradual,0.3333,1.0,0.5,103.0,13762.0,0.001686,0.0,365.6667,0.5,2.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001686,0.0,365.6667,0.5,3.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,109.0,20550.0,0.001686,0.0,365.6667,0.5,1.0
newsgroups,padd,sliding,100,sudden,0.3333,1.0,0.5,115.0,27361.0,0.001686,0.0,365.6667,0.5,2.0
newsgroups,padd,sliding,100,gradual,0.3333,1.0,0.5,103.0,13783.0,0.001686,0.0,365.6667,0.5,2.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001686,0.0,365.6667,0.5,3.0
newsgroups,padd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,109.0,20572.0,0.001686,0.0,365.6667,0.5,1.0
