Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR
mmd,sliding,100,sudden,0.2000,1.0000,0.3333,192.00,36001.00,0.003521,416.4286,158.0000,0.7857
mmd,sliding,100,gradual,0.2000,1.0000,0.3333,57.00,8363.00,0.003521,416.4286,158.0000,0.7857
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.003521,416.4286,158.0000,0.7857
mmd,sliding,100,sudden,0.3333,1.0000,0.5000,9.00,3248.00,0.001765,304.3077,100.6667,0.7692
mmd,sliding,100,gradual,0.3333,1.0000,0.5000,58.00,8546.00,0.001765,304.3077,100.6667,0.7692
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001765,304.3077,100.6667,0.7692
padd,sliding,100,sudden,1.0000,1.0000,1.0000,169.00,35304.00,0.000000,299.6000,154.0000,0.7000
padd,sliding,100,gradual,1.0000,1.0000,1.0000,58.00,8569.00,0.000000,299.6000,154.0000,0.7000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,299.6000,154.0000,0.7000
mmd,sliding,100,sudden,0.2000,1.0000,0.3333,0.00,4145.00,0.003530,406.7857,78.3333,0.7857
mmd,sliding,100,gradual,0.2000,1.0000,0.3333,192.00,24913.00,0.003530,406.7857,78.3333,0.7857
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.003530,406.7857,78.3333,0.7857
padd,sliding,100,sudden,1.0000,1.0000,1.0000,149.00,35957.00,0.000000,332.0000,128.0000,0.6667
padd,sliding,100,gradual,1.0000,1.0000,1.0000,192.00,24940.00,0.000000,332.0000,128.0000,0.6667
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,332.0000,128.0000,0.6667
padd,sliding,100,sudden,0.3333,1.0000,0.5000,96.00,35164.00,0.001768,326.7000,151.3333,0.7000
padd,sliding,100,gradual,0.3333,1.0000,0.5000,137.00,16648.00,0.001768,326.7000,151.3333,0.7000
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001768,326.7000,151.3333,0.7000
mmd,sliding,100,sudden,0.2000,1.0000,0.3333,96.00,35140.00,0.003537,355.9167,151.3333,0.7500
mmd,sliding,100,gradual,0.2000,1.0000,0.3333,137.00,16622.00,0.003537,355.9167,151.3333,0.7500
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.003537,355.9167,151.3333,0.7500
padd,sliding,100,sudden,0.5000,1.0000,0.6667,89.00,36280.00,0.000883,319.9091,138.6667,0.7273
padd,sliding,100,gradual,0.5000,1.0000,0.6667,84.00,12157.00,0.000883,319.9091,138.6667,0.7273
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000883,319.9091,138.6667,0.7273
mmd,sliding,100,sudden,0.3333,1.0000,0.5000,89.00,36259.00,0.001767,332.8333,138.6667,0.7500
mmd,sliding,100,gradual,0.3333,1.0000,0.5000,84.00,12132.00,0.001767,332.8333,138.6667,0.7500
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001767,332.8333,138.6667,0.7500
padd,sliding,100,sudden,1.0000,1.0000,1.0000,223.00,37782.00,0.000000,335.0000,217.6667,0.5714
padd,sliding,100,gradual,1.0000,1.0000,1.0000,214.00,25629.00,0.000000,335.0000,217.6667,0.5714
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,335.0000,217.6667,0.5714
mmd,sliding,100,sudden,0.3333,1.0000,0.5000,223.00,37761.00,0.001765,409.1818,217.6667,0.7273
mmd,sliding,100,gradual,0.3333,1.0000,0.5000,214.00,25606.00,0.001765,409.1818,217.6667,0.7273
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.001765,409.1818,217.6667,0.7273
padd,sliding,100,sudden,0.0000,0.0000,0.0000,nan,nan,0.000883,323.5000,444.6667,0.2500
padd,sliding,100,gradual,0.5000,1.0000,0.6667,50.00,8062.00,0.000883,323.5000,444.6667,0.2500
padd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000883,323.5000,444.6667,0.2500
mmd,sliding,100,sudden,1.0000,1.0000,1.0000,285.00,38497.00,0.000000,401.2000,438.0000,0.4000
mmd,sliding,100,gradual,1.0000,1.0000,1.0000,328.00,54990.00,0.000000,401.2000,438.0000,0.4000
mmd,sliding,100,recurring,0.0000,0.0000,0.0000,nan,nan,0.000000,401.2000,438.0000,0.4000
