Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.002551,0.0,388.3333,0.5,4.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.4,0.6667,0.5,23.0,19191.5,0.002551,0.0,388.3333,0.5,1.3333
newsgroups,padd,sliding,100,sudden,0.5,1.0,0.6667,160.0,33818.0,0.00085,0.0,386.0,0.5,1.0
newsgroups,padd,sliding,100,gradual,0.5,1.0,0.6667,42.0,43501.0,0.00085,0.0,386.0,0.5,1.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.00085,0.0,386.0,0.5,2.0
newsgroups,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,101.0,38659.5,0.00085,0.0,386.0,0.5,0.6667
newsgroups,mmd,sliding,100,sudden,1.0,1.0,1.0,400.0,48522.0,0.0,70.5,349.0,0.5,0.0
newsgroups,mmd,sliding,100,gradual,1.0,1.0,1.0,294.0,44363.0,0.0,70.5,349.0,0.5,0.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,70.5,349.0,0.5,1.0
newsgroups,mmd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,347.0,46442.5,0.0,70.5,349.0,0.5,0.3333
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.001724,141.0,462.6667,2.0,3.0
newsgroups,padd,sliding,100,gradual,0.3333,1.0,0.5,294.0,44366.0,0.001724,141.0,462.6667,2.0,2.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001724,141.0,462.6667,2.0,3.0
newsgroups,padd,sliding,100,__GLOBAL__,0.3333,0.3333,0.3333,294.0,44366.0,0.001724,141.0,462.6667,2.0,1.3333
newsgroups,mmd,sliding,100,sudden,0.3333,1.0,0.5,394.0,46799.0,0.001727,68.5,350.0,0.5,2.0
newsgroups,mmd,sliding,100,gradual,0.3333,1.0,0.5,287.0,44668.0,0.001727,68.5,350.0,0.5,2.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001727,68.5,350.0,0.5,3.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,340.5,45733.5,0.001727,68.5,350.0,0.5,1.0
newsgroups,padd,sliding,100,sudden,1.0,1.0,1.0,280.0,37642.0,0.0,0.0,366.3333,0.5,0.0
newsgroups,padd,sliding,100,gradual,1.0,1.0,1.0,101.0,16451.0,0.0,0.0,366.3333,0.5,0.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,366.3333,0.5,1.0
newsgroups,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,190.5,27046.5,0.0,0.0,366.3333,0.5,0.3333
newsgroups,mmd,sliding,100,sudden,0.3333,1.0,0.5,132.0,33663.0,0.001726,0.0,391.6667,0.5,2.0
newsgroups,mmd,sliding,100,gradual,0.3333,1.0,0.5,25.0,17828.0,0.001726,0.0,391.6667,0.5,2.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001726,0.0,391.6667,0.5,3.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,78.5,25745.5,0.001726,0.0,391.6667,0.5,1.0
newsgroups,padd,sliding,100,sudden,0.3333,1.0,0.5,132.0,33665.0,0.001726,0.0,391.6667,0.5,2.0
newsgroups,padd,sliding,100,gradual,0.3333,1.0,0.5,25.0,17831.0,0.001726,0.0,391.6667,0.5,2.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001726,0.0,391.6667,0.5,3.0
newsgroups,padd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,78.5,25748.0,0.001726,0.0,391.6667,0.5,1.0
newsgroups,mmd,sliding,50,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,50,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,padd,sliding,50,sudden,0.1667,1.0,0.2857,127.0,32722.0,0.004386,13.0,355.6667,0.5,5.0
newsgroups,padd,sliding,50,gradual,0.1667,1.0,0.2857,159.0,23375.0,0.004386,13.0,355.6667,0.5,5.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004386,13.0,355.6667,0.5,6.0
newsgroups,padd,sliding,50,__GLOBAL__,0.2857,0.6667,0.4,143.0,28048.5,0.004386,13.0,355.6667,0.5,2.0
newsgroups,mmd,sliding,50,sudden,0.2,1.0,0.3333,147.0,33880.0,0.003381,0.0,392.3333,0.5,4.0
newsgroups,mmd,sliding,50,gradual,0.2,1.0,0.3333,23.0,4821.0,0.003381,0.0,392.3333,0.5,4.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.003381,0.0,392.3333,0.5,5.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.3333,0.6667,0.4444,85.0,19350.5,0.003381,0.0,392.3333,0.5,1.6667
newsgroups,padd,sliding,50,sudden,0.2,1.0,0.3333,147.0,33883.0,0.003381,0.0,392.3333,0.5,4.0
newsgroups,padd,sliding,50,gradual,0.2,1.0,0.3333,23.0,4824.0,0.003381,0.0,392.3333,0.5,4.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.003381,0.0,392.3333,0.5,5.0
newsgroups,padd,sliding,50,__GLOBAL__,0.3333,0.6667,0.4444,85.0,19353.5,0.003381,0.0,392.3333,0.5,1.6667
newsgroups,mmd,sliding,50,sudden,0.3333,1.0,0.5,269.0,33516.0,0.001742,71.0,353.3333,0.5,2.0
newsgroups,mmd,sliding,50,gradual,0.3333,1.0,0.5,282.0,47034.0,0.001742,71.0,353.3333,0.5,2.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.001742,71.0,353.3333,0.5,3.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.5,0.6667,0.5714,275.5,40275.0,0.001742,71.0,353.3333,0.5,1.0
newsgroups,padd,sliding,50,sudden,0.0,0.0,0.0,nan,nan,0.004355,142.0,467.0,2.0,6.0
newsgroups,padd,sliding,50,gradual,0.1667,1.0,0.2857,282.0,47036.0,0.004355,142.0,467.0,2.0,5.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004355,142.0,467.0,2.0,6.0
newsgroups,padd,sliding,50,__GLOBAL__,0.1667,0.3333,0.2222,282.0,47036.0,0.004355,142.0,467.0,2.0,2.3333
newsgroups,mmd,sliding,50,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,50,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
newsgroups,padd,sliding,50,sudden,0.1429,1.0,0.25,115.0,33559.0,0.005172,0.0,360.6667,0.5,6.0
newsgroups,padd,sliding,50,gradual,0.1429,1.0,0.25,118.0,16893.0,0.005172,0.0,360.6667,0.5,6.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.005172,0.0,360.6667,0.5,7.0
newsgroups,padd,sliding,50,__GLOBAL__,0.25,0.6667,0.3636,116.5,25226.0,0.005172,0.0,360.6667,0.5,2.3333
newsgroups,mmd,sliding,50,sudden,0.1667,1.0,0.2857,65.0,28485.0,0.004216,0.0,364.6667,0.5,5.0
newsgroups,mmd,sliding,50,gradual,0.1667,1.0,0.2857,106.0,14520.0,0.004216,0.0,364.6667,0.5,5.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004216,0.0,364.6667,0.5,6.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.2857,0.6667,0.4,85.5,21502.5,0.004216,0.0,364.6667,0.5,2.0
newsgroups,padd,sliding,50,sudden,0.1667,1.0,0.2857,65.0,28487.0,0.004216,0.0,364.6667,0.5,5.0
newsgroups,padd,sliding,50,gradual,0.1667,1.0,0.2857,106.0,14523.0,0.004216,0.0,364.6667,0.5,5.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004216,0.0,364.6667,0.5,6.0
newsgroups,padd,sliding,50,__GLOBAL__,0.2857,0.6667,0.4,85.5,21505.0,0.004216,0.0,364.6667,0.5,2.0
newsgroups,mmd,sliding,50,sudden,0.3333,1.0,0.5,40.0,32165.0,0.001691,0.0,390.3333,0.5,2.0
newsgroups,mmd,sliding,50,gradual,0.3333,1.0,0.5,29.0,5574.0,0.001691,0.0,390.3333,0.5,2.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.001691,0.0,390.3333,0.5,3.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.5,0.6667,0.5714,34.5,18869.5,0.001691,0.0,390.3333,0.5,1.0
newsgroups,padd,sliding,50,sudden,0.1667,1.0,0.2857,40.0,32168.0,0.004227,0.0,390.3333,0.5,5.0
newsgroups,padd,sliding,50,gradual,0.1667,1.0,0.2857,29.0,5577.0,0.004227,0.0,390.3333,0.5,5.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004227,0.0,390.3333,0.5,6.0
newsgroups,padd,sliding,50,__GLOBAL__,0.2857,0.6667,0.4,34.5,18872.5,0.004227,0.0,390.3333,0.5,2.0
newsgroups,mmd,sliding,50,sudden,1.0,1.0,1.0,21.0,33594.0,0.0,99.0,349.6667,0.5,0.0
newsgroups,mmd,sliding,50,gradual,1.0,1.0,1.0,349.0,45226.0,0.0,99.0,349.6667,0.5,0.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.0,99.0,349.6667,0.5,1.0
newsgroups,mmd,sliding,50,__GLOBAL__,1.0,0.6667,0.8,185.0,39410.0,0.0,99.0,349.6667,0.5,0.3333
