Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,200,sudden,1.0,1.0,1.0,346.0,38651.0,0.0,0.0,836.0,2.0,0.0
newsgroups,mmd,sliding,200,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,836.0,2.0,1.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,836.0,2.0,1.0
newsgroups,mmd,sliding,200,__GLOBAL__,1.0,0.3333,0.5,346.0,38651.0,0.0,0.0,836.0,2.0,0.6667
newsgroups,padd,sliding,200,sudden,1.0,1.0,1.0,346.0,38674.0,0.0,25.5,340.3333,0.5,0.0
newsgroups,padd,sliding,200,gradual,1.0,1.0,1.0,230.0,27172.0,0.0,25.5,340.3333,0.5,0.0
newsgroups,padd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,25.5,340.3333,0.5,1.0
newsgroups,padd,sliding,200,__GLOBAL__,1.0,0.6667,0.8,288.0,32923.0,0.0,25.5,340.3333,0.5,0.3333
newsgroups,mmd,sliding,200,sudden,1.0,1.0,1.0,333.0,37139.0,0.0,53.0,340.3333,0.5,0.0
newsgroups,mmd,sliding,200,gradual,1.0,1.0,1.0,285.0,36323.0,0.0,53.0,340.3333,0.5,0.0
newsgroups,mmd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,53.0,340.3333,0.5,1.0
newsgroups,mmd,sliding,200,__GLOBAL__,1.0,0.6667,0.8,309.0,36731.0,0.0,53.0,340.3333,0.5,0.3333
newsgroups,padd,sliding,200,sudden,1.0,1.0,1.0,333.0,37162.0,0.0,53.0,340.3333,0.5,0.0
newsgroups,padd,sliding,200,gradual,1.0,1.0,1.0,285.0,36347.0,0.0,53.0,340.3333,0.5,0.0
newsgroups,padd,sliding,200,recurring,0.0,0.0,0.0,nan,nan,0.0,53.0,340.3333,0.5,1.0
newsgroups,padd,sliding,200,__GLOBAL__,1.0,0.6667,0.8,309.0,36754.5,0.0,53.0,340.3333,0.5,0.3333
newsgroups,mmd,sliding,200,sudden,1.0,1.0,1.0,165.0,29377.0,0.0,14.0,340.3333,0.5,0.0
newsgroups,mmd,sliding,200,gradual,1.0,1.0,1.0,207.0,41693.0,0.0,14.0,340.3333,0.5,0.0
