Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,50,gradual,0.25,1.0,0.4,80.0,10790.0,0.00253,0.0,373.3333,0.5,3.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.00253,0.0,373.3333,0.5,4.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.4,0.6667,0.5,65.5,9380.0,0.00253,0.0,373.3333,0.5,1.3333
newsgroups,padd,sliding,50,sudden,0.0,0.0,0.0,nan,nan,0.00253,nan,nan,nan,4.0
newsgroups,padd,sliding,50,gradual,0.0,0.0,0.0,nan,nan,0.00253,nan,nan,nan,4.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.00253,nan,nan,nan,4.0
newsgroups,padd,sliding,50,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.00253,nan,nan,nan,nan
newsgroups,mmd,sliding,50,sudden,0.3333,1.0,0.5,426.0,47863.0,0.001686,0.0,353.6667,0.5,2.0
newsgroups,mmd,sliding,50,gradual,0.3333,1.0,0.5,139.0,16182.0,0.001686,0.0,353.6667,0.5,2.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.001686,0.0,353.6667,0.5,3.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.5,0.6667,0.5714,282.5,32022.5,0.001686,0.0,353.6667,0.5,1.0
newsgroups,padd,sliding,50,sudden,1.0,1.0,1.0,426.0,47886.0,0.0,0.0,373.3333,0.5,0.0
newsgroups,padd,sliding,50,gradual,1.0,1.0,1.0,80.0,11034.0,0.0,0.0,373.3333,0.5,0.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,373.3333,0.5,1.0
newsgroups,padd,sliding,50,__GLOBAL__,1.0,0.6667,0.8,253.0,29460.0,0.0,0.0,373.3333,0.5,0.3333
newsgroups,mmd,sliding,50,sudden,0.1667,1.0,0.2857,199.0,29244.0,0.004216,31.5,340.3333,0.5,5.0
newsgroups,mmd,sliding,50,gradual,0.1667,1.0,0.2857,242.0,41063.0,0.004216,31.5,340.3333,0.5,5.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004216,31.5,340.3333,0.5,6.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.2857,0.6667,0.4,220.5,35153.5,0.004216,31.5,340.3333,0.5,2.0
newsgroups,padd,sliding,50,sudden,1.0,1.0,1.0,199.0,29117.0,0.0,97.5,340.3333,0.5,0.0
newsgroups,padd,sliding,50,gradual,1.0,1.0,1.0,374.0,43419.0,0.0,97.5,340.3333,0.5,0.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.0,97.5,340.3333,0.5,1.0
newsgroups,padd,sliding,50,__GLOBAL__,1.0,0.6667,0.8,286.5,36268.0,0.0,97.5,340.3333,0.5,0.3333
newsgroups,mmd,sliding,50,sudden,0.1667,1.0,0.2857,95.0,26830.0,0.004216,0.0,355.3333,0.5,5.0
newsgroups,mmd,sliding,50,gradual,0.1667,1.0,0.2857,134.0,15651.0,0.004216,0.0,355.3333,0.5,5.0
newsgroups,mmd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004216,0.0,355.3333,0.5,6.0
newsgroups,mmd,sliding,50,__GLOBAL__,0.2857,0.6667,0.4,114.5,21240.5,0.004216,0.0,355.3333,0.5,2.0
newsgroups,padd,sliding,50,sudden,0.1667,1.0,0.2857,95.0,26852.0,0.004216,0.0,355.3333,0.5,5.0
newsgroups,padd,sliding,50,gradual,0.1667,1.0,0.2857,134.0,15674.0,0.004216,0.0,355.3333,0.5,5.0
newsgroups,padd,sliding,50,recurring,0.0,0.0,0.0,nan,nan,0.004216,0.0,355.3333,0.5,6.0
newsgroups,padd,sliding,50,__GLOBAL__,0.2857,0.6667,0.4,114.5,21263.0,0.004216,0.0,355.3333,0.5,2.0
