Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
yahoo,mmd,sliding,100,sudden,1.0,1.0,1.0,180.0,24894.0,0.0,0.0,375.3333,0.5,0.0
yahoo,mmd,sliding,100,gradual,1.0,1.0,1.0,74.0,14864.0,0.0,0.0,375.3333,0.5,0.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,375.3333,0.5,1.0
yahoo,mmd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,127.0,19879.0,0.0,0.0,375.3333,0.5,0.3333
yahoo,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
yahoo,mmd,sliding,100,sudden,0.5,1.0,0.6667,183.0,27731.0,0.000843,0.0,374.3333,0.5,1.0
yahoo,mmd,sliding,100,gradual,0.5,1.0,0.6667,77.0,15332.0,0.000843,0.0,374.3333,0.5,1.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,374.3333,0.5,2.0
yahoo,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,130.0,21531.5,0.000843,0.0,374.3333,0.5,0.6667
yahoo,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
yahoo,mmd,sliding,100,sudden,0.5,1.0,0.6667,123.0,18832.0,0.000843,0.0,374.3333,0.5,1.0
yahoo,mmd,sliding,100,gradual,0.5,1.0,0.6667,77.0,10864.0,0.000843,0.0,374.3333,0.5,1.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,0.0,374.3333,0.5,2.0
yahoo,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,100.0,14848.0,0.000843,0.0,374.3333,0.5,0.6667
yahoo,padd,sliding,100,sudden,1.0,1.0,1.0,420.0,57251.0,0.0,0.0,786.6667,2.0,0.0
yahoo,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,0.0,786.6667,2.0,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,786.6667,2.0,1.0
yahoo,padd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,420.0,57251.0,0.0,0.0,786.6667,2.0,0.6667
yahoo,mmd,sliding,100,sudden,0.5,1.0,0.6667,122.0,19407.0,0.000843,67.0,340.3333,0.5,1.0
yahoo,mmd,sliding,100,gradual,0.5,1.0,0.6667,313.0,39573.0,0.000843,67.0,340.3333,0.5,1.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,67.0,340.3333,0.5,2.0
yahoo,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,217.5,29490.0,0.000843,67.0,340.3333,0.5,0.6667
yahoo,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
yahoo,mmd,sliding,100,sudden,0.3333,1.0,0.5,111.0,18157.0,0.001686,0.0,377.0,0.5,2.0
yahoo,mmd,sliding,100,gradual,0.3333,1.0,0.5,69.0,9733.0,0.001686,0.0,377.0,0.5,2.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001686,0.0,377.0,0.5,3.0
yahoo,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,90.0,13945.0,0.001686,0.0,377.0,0.5,1.0
yahoo,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
yahoo,mmd,sliding,100,sudden,1.0,1.0,1.0,147.0,23522.0,0.0,80.0,340.3333,0.5,0.0
yahoo,mmd,sliding,100,gradual,1.0,1.0,1.0,339.0,43639.0,0.0,80.0,340.3333,0.5,0.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,80.0,340.3333,0.5,1.0
yahoo,mmd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,243.0,33580.5,0.0,80.0,340.3333,0.5,0.3333
yahoo,padd,sliding,100,sudden,1.0,1.0,1.0,296.0,56781.0,0.0,0.0,365.0,0.5,0.0
yahoo,padd,sliding,100,gradual,1.0,1.0,1.0,105.0,13628.0,0.0,0.0,365.0,0.5,0.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,0.0,365.0,0.5,1.0
yahoo,padd,sliding,100,__GLOBAL__,1.0,0.6667,0.8,200.5,35204.5,0.0,0.0,365.0,0.5,0.3333
yahoo,mmd,sliding,100,sudden,0.3333,1.0,0.5,231.0,29131.0,0.001686,0.0,359.0,0.5,2.0
yahoo,mmd,sliding,100,gradual,0.3333,1.0,0.5,123.0,16612.0,0.001686,0.0,359.0,0.5,2.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001686,0.0,359.0,0.5,3.0
yahoo,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,177.0,22871.5,0.001686,0.0,359.0,0.5,1.0
yahoo,padd,sliding,100,sudden,0.5,1.0,0.6667,231.0,29153.0,0.000843,47.0,340.3333,0.5,1.0
yahoo,padd,sliding,100,gradual,0.5,1.0,0.6667,273.0,47398.0,0.000843,47.0,340.3333,0.5,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000843,47.0,340.3333,0.5,2.0
yahoo,padd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,252.0,38275.5,0.000843,47.0,340.3333,0.5,0.6667
yahoo,mmd,sliding,100,sudden,0.3333,1.0,0.5,95.0,19308.0,0.001685,0.0,355.0,0.5,2.0
yahoo,mmd,sliding,100,gradual,0.3333,1.0,0.5,135.0,16947.0,0.001685,0.0,355.0,0.5,2.0
yahoo,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001685,0.0,355.0,0.5,3.0
yahoo,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,115.0,18127.5,0.001685,0.0,355.0,0.5,1.0
yahoo,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,gradual,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,1.0
yahoo,padd,sliding,100,__GLOBAL__,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,nan
